乙,yi3,two
厂,chang3,factory
广,guang3,square
尸,shi1,corpse
户,hu4,(e.g. hu4 kou3)
人,ren2,people;person
儿,er2,(e.g. er2 zi)
几,ji3,how many;how much
力,li4,power
刀,dao1,knife
土,tu3,soil
士,shi4,soldier
工,gong1,work
寸,cun4,(measuring unit)
大,da4,big
小,xiao3,small
山,shan1,mountain
水,shui3,water
火,huo3,fire
巾,jin1,cloth;fabric
门,men2,door
自己,zi4 ji3,myself
弓,gong1,bow
子,zi3,(e.g. chou1 zi3)
女,nü3,woman
马,ma3,horse
王,wang2,king
木,mu4,wood
目,mu4,eye
车,che1,vehicle
日,ri4,sun
月,yue4,moon
贝,bei4,treasure
牛,niu2,cow
午,wu3,noon
手,shou3,hand
毛,mao2,feather
气,qi4,air
片,pian4,piece
斤,jin1,pound (500g)
方,fang1,direction;square
口,kou3,mouth
斗,dou3,(measure unit for volume)
心,xing1,heart
田,tian2,field
石,shi2,stone
又,you4,again
生,sheng1,born
中,zhong1,middle
匕,bi4,dagger
白,bai2,white
百,bai3,hundred
千,qian1,thousand
万,wan4,ten thousand
瓜,gua1,melon
用,yong4,use
鸟,niao3,bird
里,li3,in;inside
立,li4,stand
穴,xue4,cave
皮,pi2,skin
母,mu3,mother
耳,er3,ohr
西,xi1,west
东,dong1,east
南,nan2,south
北,bei3,north
也,ye3,and;also
页,ye4,page
虫,chong2,bug
竹,zhu2,bamboo
豆,dou4,bean
足,zu2,foot
身,shen1,body
雨,yu3,rain
言,yan2,speak;language
走,zou3,go